crop_type,growth_stage,soil_moisture,air_humidity,temperature,irrigate
tomato,flowering,56.7,58.8,31.7,0
okra,flowering,65.8,77.8,29.0,0
chili,vegetative,13.1,81.5,28.1,1
chili,vegetative,24.0,86.6,31.3,1
chili,seedling,32.1,66.2,30.8,0
okra,seedling,70.5,63.2,33.0,0
tomato,flowering,62.0,62.3,32.5,0
okra,fruiting,60.7,61.2,35.1,1
tomato,seedling,42.0,76.8,29.3,1
tomato,vegetative,42.3,69.1,31.2,1
chili,flowering,51.3,98.0,22.3,0
okra,flowering,50.8,91.4,20.7,0
okra,flowering,57.7,97.4,22.8,1
okra,flowering,47.4,76.8,29.8,1
okra,seedling,53.9,59.6,35.1,0
okra,vegetative,52.2,84.2,24.4,0
chili,vegetative,55.9,96.9,27.0,0
tomato,seedling,69.3,61.4,32.1,1
okra,vegetative,27.3,63.7,34.3,1
chili,vegetative,13.5,60.5,32.7,1
chili,fruiting,59.0,82.0,31.2,0
chili,vegetative,61.6,80.9,29.1,0
tomato,fruiting,43.7,87.8,22.0,1
okra,flowering,24.0,89.9,24.5,1
okra,flowering,51.4,74.1,30.1,0
chili,fruiting,58.0,73.0,28.4,0
chili,fruiting,70.2,72.6,32.1,0
okra,seedling,57.2,59.1,36.4,0
chili,vegetative,39.8,81.8,26.9,0
chili,flowering,32.5,77.8,27.8,1
chili,fruiting,45.2,68.8,32.7,0
tomato,seedling,53.8,91.2,23.1,1
tomato,vegetative,43.8,74.8,29.3,0
chili,seedling,73.7,66.6,30.6,0
okra,seedling,75.0,76.1,33.3,0
tomato,fruiting,73.9,52.2,35.2,0
okra,seedling,37.1,92.8,23.1,1
okra,fruiting,62.0,80.1,26.1,0
tomato,fruiting,67.0,89.9,28.0,0
chili,fruiting,51.2,67.6,29.4,1
tomato,seedling,75.5,82.6,23.9,0
okra,seedling,58.9,56.7,33.6,0
okra,vegetative,60.4,91.6,23.3,0
chili,flowering,53.9,58.3,31.9,0
tomato,fruiting,62.8,68.2,30.4,0
okra,vegetative,25.0,41.7,36.3,1
chili,seedling,46.2,82.5,26.7,0
okra,fruiting,42.2,77.8,26.5,0
okra,fruiting,32.1,50.4,34.7,1
okra,flowering,73.5,85.0,28.0,0
okra,flowering,74.2,48.5,35.9,0
tomato,fruiting,77.0,98.0,19.5,0
chili,vegetative,48.6,86.7,22.4,0
chili,seedling,63.9,77.9,32.3,0
chili,flowering,45.2,78.2,29.8,0
tomato,vegetative,60.8,82.0,23.4,0
chili,fruiting,29.7,64.0,30.8,1
tomato,fruiting,63.6,94.5,22.9,0
okra,vegetative,50.8,61.8,33.5,0
okra,vegetative,31.8,65.1,32.5,1
okra,vegetative,49.3,83.0,29.4,1
okra,flowering,48.9,66.8,30.2,1
chili,flowering,70.2,76.9,28.5,0
okra,flowering,62.5,74.3,31.9,0
chili,flowering,45.2,91.9,24.5,1
tomato,fruiting,61.5,64.3,32.8,0
okra,vegetative,50.6,80.4,26.0,1
chili,seedling,42.2,64.9,28.2,0
tomato,fruiting,42.8,66.6,29.4,1
chili,fruiting,42.9,69.1,32.3,0
okra,flowering,39.6,88.1,23.4,1
tomato,vegetative,40.5,83.4,25.9,1
chili,vegetative,52.2,73.4,32.5,0
tomato,vegetative,63.5,61.0,31.3,0
okra,seedling,25.0,62.6,33.3,1
chili,flowering,43.3,78.9,28.0,0
tomato,vegetative,71.9,78.2,25.7,0
tomato,vegetative,72.8,76.0,32.6,0
chili,flowering,59.4,72.2,32.6,0
okra,fruiting,50.5,69.3,32.1,1
okra,seedling,38.2,82.7,31.0,1
chili,fruiting,29.8,60.7,30.5,1
tomato,flowering,62.8,62.9,33.8,0
okra,fruiting,55.3,91.3,23.5,0
chili,vegetative,63.0,69.2,28.8,0
okra,fruiting,65.4,78.6,28.4,0
tomato,flowering,56.1,88.4,20.6,0
tomato,flowering,40.6,92.6,23.9,1
okra,flowering,45.5,68.2,34.7,1
okra,vegetative,53.0,78.5,28.4,0
chili,flowering,42.2,77.9,22.7,0
okra,fruiting,41.9,75.1,26.3,0
okra,fruiting,53.5,83.2,27.3,1
chili,seedling,37.9,89.0,23.4,1
okra,flowering,41.2,69.9,23.5,1
tomato,fruiting,62.4,72.3,33.6,0
tomato,flowering,52.4,64.6,33.5,1
okra,vegetative,53.4,58.3,33.4,0
chili,vegetative,48.8,68.7,34.3,0
tomato,flowering,42.0,68.2,29.8,1
okra,flowering,43.3,65.6,30.8,0
tomato,vegetative,78.1,95.8,21.7,0
okra,vegetative,33.7,86.7,29.3,1
tomato,vegetative,28.4,98.0,21.0,1
okra,seedling,23.9,97.2,21.1,1
okra,seedling,50.4,77.5,29.3,0
okra,seedling,50.4,73.6,31.8,1
chili,vegetative,43.4,83.0,22.3,1
chili,flowering,62.0,80.1,28.8,0
okra,vegetative,12.6,78.0,25.7,1
tomato,fruiting,63.5,69.1,32.3,0
okra,seedling,71.9,70.3,30.3,0
chili,vegetative,29.2,84.6,26.6,1
chili,seedling,39.7,84.7,25.5,1
chili,vegetative,34.5,68.1,23.1,1
chili,flowering,32.5,87.1,24.7,1
tomato,vegetative,53.4,87.3,25.9,0
tomato,vegetative,78.0,73.3,30.9,0
tomato,flowering,83.7,68.6,31.3,0
tomato,fruiting,53.3,80.1,31.6,0
chili,seedling,71.7,75.1,29.8,0
okra,seedling,50.5,67.2,33.4,0
chili,seedling,69.6,90.1,25.9,0
chili,flowering,43.7,81.9,27.3,0
okra,fruiting,51.8,73.7,27.0,1
chili,seedling,50.1,56.4,29.6,0
tomato,seedling,88.0,81.4,25.1,0
okra,flowering,61.9,88.9,25.6,0
chili,fruiting,35.1,64.8,32.1,1
chili,flowering,58.6,82.3,28.3,0
chili,fruiting,39.9,90.8,23.1,1
chili,flowering,38.1,76.0,32.2,0
tomato,seedling,70.7,83.6,24.7,0
chili,vegetative,45.4,69.9,32.4,0
okra,fruiting,53.9,74.9,30.5,1
tomato,flowering,58.2,90.0,27.2,0
chili,seedling,49.7,54.5,32.4,1
tomato,seedling,63.9,60.2,33.7,0
chili,flowering,17.9,66.8,34.7,1
chili,vegetative,54.3,98.0,21.8,0
okra,flowering,36.3,78.2,28.4,1
tomato,vegetative,37.8,88.4,22.8,1
tomato,vegetative,57.2,63.5,35.7,0
chili,flowering,46.2,98.0,21.1,1
okra,seedling,40.3,61.9,33.2,1
okra,vegetative,61.6,69.8,32.0,0
tomato,vegetative,39.2,73.2,33.0,1
tomato,fruiting,52.3,91.0,27.9,1
okra,flowering,41.8,98.0,20.3,0
tomato,vegetative,57.3,67.3,32.2,0
okra,vegetative,53.9,89.7,23.0,0
tomato,seedling,43.9,92.9,23.4,1
okra,seedling,60.1,72.0,29.9,0
tomato,vegetative,58.9,68.2,32.3,1
chili,fruiting,18.5,54.8,34.1,1
chili,seedling,17.6,75.6,32.4,1
tomato,seedling,57.8,87.5,20.8,1
chili,flowering,41.9,90.6,21.5,0
chili,seedling,43.6,79.8,27.4,0
okra,fruiting,49.6,98.0,23.6,0
okra,fruiting,53.2,60.4,33.7,1
chili,fruiting,58.3,85.4,23.0,0
chili,vegetative,29.4,62.1,32.6,1
chili,vegetative,28.6,75.8,33.3,1
chili,vegetative,29.7,48.3,31.8,1
okra,seedling,54.0,77.4,25.2,0
tomato,flowering,75.4,91.6,30.0,0
tomato,fruiting,52.0,75.8,30.3,0
chili,vegetative,12.0,56.5,33.3,1
tomato,seedling,34.1,71.5,30.3,1
tomato,flowering,46.3,77.9,28.0,1
tomato,vegetative,50.2,69.4,33.6,1
okra,fruiting,44.3,81.4,31.6,1
okra,fruiting,50.5,70.0,32.1,0
okra,fruiting,45.6,89.4,21.7,0
chili,vegetative,59.7,73.4,31.9,0
okra,fruiting,40.5,67.2,30.2,1
tomato,seedling,45.9,63.9,30.6,1
okra,vegetative,56.7,57.7,31.0,0
chili,vegetative,23.5,79.1,23.0,1
okra,fruiting,55.5,60.5,32.3,0
tomato,flowering,59.4,61.1,31.3,0
chili,vegetative,42.9,76.7,29.2,1
okra,seedling,72.2,88.8,20.1,0
chili,fruiting,36.3,53.2,28.9,0
chili,flowering,73.8,58.1,32.8,0
tomato,fruiting,54.8,85.3,23.6,0
chili,vegetative,27.1,57.8,34.2,1
tomato,seedling,59.0,98.0,22.5,1
tomato,vegetative,42.9,49.8,37.3,1
okra,flowering,39.5,76.4,30.9,1
chili,seedling,50.6,63.9,33.4,0
chili,seedling,52.8,66.7,32.2,1
chili,fruiting,36.3,76.6,26.0,1
okra,flowering,63.8,63.5,33.4,0
tomato,vegetative,74.2,67.6,29.8,0
chili,flowering,65.1,87.5,24.5,0
tomato,flowering,65.4,73.6,28.9,0
chili,seedling,64.1,68.5,29.0,0
okra,vegetative,23.7,79.7,29.9,1
chili,vegetative,40.5,85.3,26.1,0
okra,seedling,37.9,69.9,29.8,1
chili,seedling,46.7,75.8,29.1,1
okra,vegetative,42.0,82.3,25.8,1
chili,flowering,42.7,48.9,37.0,0
tomato,flowering,84.4,81.5,26.6,0
okra,fruiting,47.6,66.6,30.6,0
okra,vegetative,55.8,79.9,24.4,1
tomato,flowering,54.7,55.8,32.1,1
okra,fruiting,51.1,71.6,29.4,0
tomato,flowering,58.1,94.9,22.6,0
okra,fruiting,56.3,80.1,25.0,0
okra,seedling,66.3,87.1,31.2,1
chili,fruiting,68.1,74.3,31.8,0
okra,flowering,54.3,96.3,24.1,0
tomato,flowering,66.3,73.4,31.9,0
tomato,seedling,41.9,83.4,30.8,1
tomato,flowering,56.8,86.4,22.2,1
chili,fruiting,58.2,50.6,31.6,0
okra,flowering,62.1,59.3,34.0,0
tomato,seedling,61.0,72.7,31.5,0
chili,vegetative,57.4,67.9,32.3,0
okra,flowering,56.9,89.6,23.9,1
tomato,fruiting,74.8,98.0,22.8,0
okra,vegetative,54.1,71.9,31.3,0
tomato,fruiting,53.0,92.4,24.3,1
okra,fruiting,54.7,58.1,33.1,0
chili,vegetative,12.0,83.9,22.4,1
chili,seedling,50.4,98.0,21.3,0
tomato,fruiting,12.0,98.0,19.6,1
chili,flowering,20.9,78.3,25.9,1
okra,fruiting,56.3,59.0,33.6,0
tomato,fruiting,64.7,80.4,25.0,1
okra,vegetative,33.7,72.7,27.9,1
chili,seedling,35.0,74.7,25.5,1
okra,fruiting,69.2,85.2,20.7,0
chili,flowering,38.2,76.1,28.0,1
chili,seedling,76.4,66.5,30.8,0
tomato,flowering,58.0,98.0,20.6,0
chili,seedling,50.7,95.7,21.5,0
tomato,vegetative,80.6,68.5,32.3,0
chili,vegetative,46.8,66.2,30.4,0
tomato,vegetative,44.0,75.7,28.4,0
chili,flowering,43.5,64.1,34.4,1
chili,fruiting,44.5,76.9,30.2,1
tomato,vegetative,38.9,76.2,28.2,1
okra,flowering,46.4,70.7,33.7,0
chili,fruiting,34.6,94.6,21.2,0
okra,flowering,62.9,87.7,26.1,0
tomato,vegetative,58.5,59.2,33.9,0
tomato,flowering,54.0,76.0,23.5,1
chili,vegetative,43.5,70.2,31.7,1
tomato,vegetative,61.1,76.0,30.6,0
tomato,flowering,66.6,89.2,24.9,0
chili,vegetative,31.0,77.3,29.3,1
tomato,seedling,43.4,83.9,24.5,1
okra,fruiting,65.5,59.9,32.8,0
tomato,flowering,52.2,96.5,21.9,0
tomato,seedling,38.2,78.9,28.6,1
chili,vegetative,51.2,63.3,32.1,0
okra,vegetative,56.5,70.6,33.9,0
tomato,fruiting,36.6,64.7,30.7,1
tomato,fruiting,61.2,76.0,27.0,1
okra,flowering,60.3,75.2,33.5,0
okra,vegetative,55.2,76.0,31.0,0
chili,seedling,53.8,58.5,34.6,0
chili,seedling,25.3,63.0,34.6,1
chili,seedling,49.6,66.7,32.7,0
chili,fruiting,40.8,51.5,30.7,1
chili,seedling,38.2,60.3,32.3,1
tomato,flowering,70.2,89.8,23.0,0
tomato,fruiting,78.7,88.3,22.7,0
tomato,vegetative,83.1,70.2,31.6,0
okra,flowering,68.4,77.1,31.3,0
chili,fruiting,43.5,66.7,31.4,1
chili,vegetative,49.9,72.8,26.9,1
chili,vegetative,55.7,69.4,32.2,0
okra,seedling,51.7,83.2,24.8,0
tomato,vegetative,59.8,67.6,31.5,0
tomato,fruiting,69.5,61.7,33.5,1
tomato,flowering,57.2,86.7,30.6,0
chili,seedling,34.8,46.1,34.3,1
okra,flowering,44.2,68.5,30.5,1
chili,flowering,53.9,70.4,30.8,0
chili,seedling,45.0,59.8,32.9,0
okra,fruiting,54.8,76.0,31.1,0
tomato,seedling,67.4,89.8,25.4,0
chili,vegetative,39.8,71.0,30.5,0
chili,vegetative,55.6,63.3,32.9,1
chili,flowering,50.3,71.8,30.0,0
okra,fruiting,32.7,74.4,28.9,1
tomato,seedling,78.2,89.1,23.1,0
okra,vegetative,43.0,73.0,29.3,1
tomato,vegetative,34.8,84.4,26.0,1
chili,fruiting,30.4,80.9,28.7,1
