timestamp,crop_type,growth_stage,soil_moisture,air_humidity,temperature,irrigated
2026-07-01 06:00:00,okra,fruiting,64.7,99.0,21.7,0
2026-07-01 06:00:00,tomato,flowering,53.6,99.0,22.7,0
2026-07-01 06:00:00,chili,vegetative,52.4,99.0,21.3,1
2026-07-01 07:00:00,tomato,fruiting,52.8,95.1,22.6,0
2026-07-01 07:00:00,chili,flowering,50.3,93.2,23.9,0
2026-07-01 07:00:00,okra,flowering,61.8,94.3,23.7,0
2026-07-01 08:00:00,okra,seedling,58.6,88.8,24.6,0
2026-07-01 08:00:00,tomato,vegetative,68.2,87.2,25.4,1
2026-07-01 08:00:00,chili,fruiting,52.7,83.2,23.8,0
2026-07-01 09:00:00,okra,vegetative,58.9,95.4,22.9,0
2026-07-01 09:00:00,chili,flowering,51.6,84.3,25.7,0
2026-07-01 09:00:00,tomato,seedling,67.9,92.8,24.8,0
2026-07-01 10:00:00,tomato,flowering,66.2,88.9,26.7,0
2026-07-01 10:00:00,okra,vegetative,60.9,85.4,27.0,0
2026-07-01 10:00:00,chili,flowering,51.3,81.3,27.9,0
2026-07-01 11:00:00,tomato,fruiting,64.2,75.9,29.6,0
2026-07-01 11:00:00,okra,vegetative,61.6,82.6,28.4,0
2026-07-01 11:00:00,chili,flowering,49.2,84.0,26.4,0
2026-07-01 12:00:00,tomato,fruiting,64.0,62.5,32.8,0
2026-07-01 12:00:00,okra,vegetative,61.1,72.3,31.3,0
2026-07-01 12:00:00,chili,flowering,50.6,69.0,31.7,0
2026-07-01 13:00:00,okra,vegetative,56.5,76.3,30.0,0
2026-07-01 13:00:00,tomato,vegetative,64.4,64.8,32.6,0
2026-07-01 13:00:00,chili,seedling,48.1,74.3,31.2,0
2026-07-01 14:00:00,chili,flowering,48.9,60.4,32.6,0
2026-07-01 14:00:00,okra,flowering,55.5,100.0,30.4,0
2026-07-01 14:00:00,tomato,fruiting,61.1,69.0,32.6,0
2026-07-01 15:00:00,chili,vegetative,47.9,65.4,31.1,0
2026-07-01 15:00:00,okra,seedling,61.5,68.6,32.4,0
2026-07-01 15:00:00,tomato,fruiting,60.5,67.7,32.1,0
2026-07-01 16:00:00,chili,fruiting,48.1,73.2,30.6,0
2026-07-01 16:00:00,okra,vegetative,55.7,64.3,31.1,0
2026-07-01 16:00:00,tomato,fruiting,59.9,65.5,32.6,0
2026-07-01 17:00:00,okra,vegetative,55.2,66.5,31.7,0
2026-07-01 17:00:00,chili,fruiting,47.2,53.7,34.1,0
2026-07-01 17:00:00,tomato,flowering,55.0,68.2,30.8,0
2026-07-01 18:00:00,okra,vegetative,56.4,75.0,30.2,0
2026-07-01 18:00:00,tomato,seedling,68.8,62.6,32.0,1
2026-07-01 18:00:00,chili,vegetative,46.3,71.4,30.7,0
2026-07-01 19:00:00,okra,seedling,51.7,81.8,26.6,0
2026-07-01 19:00:00,chili,vegetative,48.8,83.3,28.5,0
2026-07-01 19:00:00,tomato,fruiting,68.0,77.4,29.7,0
2026-07-01 20:00:00,tomato,fruiting,65.9,86.3,27.0,0
2026-07-01 20:00:00,okra,vegetative,47.3,80.7,27.5,0
2026-07-01 20:00:00,chili,seedling,47.4,86.5,26.3,0
2026-07-01 21:00:00,tomato,fruiting,61.9,90.8,24.9,0
2026-07-01 21:00:00,chili,seedling,45.7,87.9,24.7,0
2026-07-01 21:00:00,okra,vegetative,47.1,77.8,26.5,0
2026-07-01 22:00:00,tomato,vegetative,62.4,92.0,23.9,0
2026-07-01 22:00:00,okra,fruiting,48.5,86.4,25.4,0
2026-07-01 22:00:00,chili,vegetative,61.6,95.4,24.7,1
2026-07-01 23:00:00,chili,fruiting,61.0,96.7,22.8,0
2026-07-01 23:00:00,okra,vegetative,48.4,96.4,23.2,0
2026-07-01 23:00:00,tomato,vegetative,62.4,94.6,22.2,0
2026-07-02 00:00:00,tomato,fruiting,58.2,93.6,22.3,0
2026-07-02 00:00:00,okra,seedling,49.3,99.0,21.9,0
2026-07-02 00:00:00,chili,flowering,60.1,92.2,21.3,0
2026-07-02 01:00:00,chili,seedling,58.2,99.0,20.1,0
2026-07-02 01:00:00,tomato,seedling,58.1,97.7,21.6,0
2026-07-02 01:00:00,okra,fruiting,43.6,96.3,22.7,0
2026-07-02 02:00:00,chili,flowering,57.4,99.0,19.4,0
2026-07-02 02:00:00,tomato,vegetative,56.7,99.0,18.2,0
2026-07-02 02:00:00,okra,fruiting,40.6,98.2,21.1,0
2026-07-02 03:00:00,tomato,fruiting,56.5,99.0,18.9,0
