timestamp,crop_type,growth_stage,soil_moisture,air_humidity,temperature,irrigate
2026-07-01 06:00:00,chili,fruiting,46.4,81.2,24.3,0
2026-07-01 07:00:00,chili,vegetative,43.1,88.1,23.4,1
2026-07-01 08:00:00,chili,vegetative,51.3,96.4,24.1,1
2026-07-01 09:00:00,chili,fruiting,65.0,71.4,26.3,0
2026-07-01 10:00:00,chili,vegetative,62.7,69.2,28.5,0
2026-07-01 11:00:00,chili,seedling,59.4,68.0,31.3,0
2026-07-01 12:00:00,chili,vegetative,60.5,51.3,31.0,0
2026-07-01 13:00:00,chili,fruiting,57.5,65.7,33.8,0
2026-07-01 14:00:00,chili,vegetative,56.6,65.0,29.4,0
2026-07-01 15:00:00,chili,fruiting,52.9,67.4,33.5,0
2026-07-01 16:00:00,chili,seedling,49.7,69.4,31.5,1
2026-07-01 17:00:00,chili,vegetative,60.4,56.7,32.0,0
2026-07-01 18:00:00,chili,seedling,60.0,65.8,31.3,1
2026-07-01 19:00:00,chili,fruiting,68.6,67.0,29.9,0
2026-07-01 20:00:00,chili,seedling,62.9,74.0,29.8,0
2026-07-01 21:00:00,chili,fruiting,59.9,80.1,27.1,0
2026-07-01 22:00:00,chili,fruiting,54.2,81.3,24.6,0
2026-07-01 23:00:00,chili,seedling,54.0,79.4,22.8,0
2026-07-02 00:00:00,chili,vegetative,52.9,98.0,23.7,0
2026-07-02 01:00:00,chili,fruiting,53.0,94.9,21.8,0
2026-07-02 02:00:00,chili,seedling,47.1,87.8,21.9,0
2026-07-02 03:00:00,chili,seedling,45.8,93.2,22.1,0
2026-07-02 04:00:00,chili,seedling,47.0,86.0,22.7,0
2026-07-02 05:00:00,chili,fruiting,41.0,93.6,22.2,0
2026-07-02 06:00:00,chili,flowering,40.2,86.5,23.2,0
2026-07-02 07:00:00,chili,vegetative,38.5,82.5,25.2,1
2026-07-02 08:00:00,chili,seedling,50.6,89.7,24.4,1
2026-07-02 09:00:00,chili,seedling,62.7,85.5,25.7,1
2026-07-02 10:00:00,chili,vegetative,73.2,75.7,27.7,0
2026-07-02 11:00:00,chili,flowering,72.2,76.6,27.6,0
2026-07-02 12:00:00,chili,seedling,71.9,68.7,30.1,0
2026-07-02 13:00:00,chili,fruiting,73.2,63.5,32.5,0
2026-07-02 14:00:00,chili,vegetative,69.9,62.0,31.6,0
2026-07-02 15:00:00,chili,fruiting,63.4,75.6,33.2,0
2026-07-02 16:00:00,chili,vegetative,62.9,61.1,32.7,0
2026-07-02 17:00:00,chili,fruiting,63.3,66.5,32.3,0
2026-07-02 18:00:00,chili,fruiting,63.7,74.1,30.2,0
2026-07-02 19:00:00,chili,flowering,60.9,73.5,30.1,1
2026-07-02 20:00:00,chili,fruiting,73.5,75.0,28.7,0
2026-07-02 21:00:00,chili,seedling,72.0,72.8,29.6,0
2026-07-02 22:00:00,chili,fruiting,69.9,84.2,24.2,0
2026-07-02 23:00:00,chili,seedling,67.0,77.0,24.9,0
2026-07-03 00:00:00,chili,seedling,67.8,96.6,22.7,0
2026-07-03 01:00:00,chili,vegetative,66.8,98.0,21.1,0
2026-07-03 02:00:00,chili,fruiting,64.8,98.0,21.2,0
2026-07-03 03:00:00,chili,vegetative,60.5,98.0,20.0,0
2026-07-03 04:00:00,chili,fruiting,54.0,89.9,20.8,0
2026-07-03 05:00:00,chili,flowering,50.4,93.0,23.5,0
2026-07-03 06:00:00,chili,seedling,51.5,77.0,24.4,0
2026-07-03 07:00:00,chili,flowering,50.7,81.7,25.1,0
2026-07-03 08:00:00,chili,seedling,50.9,71.3,24.4,0
2026-07-03 09:00:00,chili,vegetative,50.6,76.3,27.2,1
